propeller_names,pitch,diameter,N_blades,performance_filename,J,CT,CP,eta,RPM,tip_mach,radius,chord,twist,geom_filename
apc29ff_9x5,0.127,0.2286,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apc29ff_9x5_kt1026_4007.txt,"[0.158 0.188 0.218 0.248 0.278 0.308 0.338 0.368 0.398 0.428 0.458 0.488
 0.518 0.548 0.578 0.608 0.638 0.668 0.698 0.728]","[ 0.0886      0.08631429  0.0833      0.07975     0.07579057  0.07046981
  0.06516667  0.05980435  0.05419565  0.04896     0.0435      0.03806667
  0.03306667  0.02800606  0.02307292  0.01826042  0.01363243  0.00896585
  0.00417561 -0.0008    ]","[0.0458     0.04587143 0.04577143 0.04550625 0.04494151 0.04375283
 0.04236667 0.04054348 0.03845652 0.03628667 0.0338     0.03123333
 0.02873333 0.02608182 0.02334167 0.02059167 0.01775676 0.01490732
 0.01197317 0.0089    ]","[ 0.306       0.35242857  0.39542857  0.435125    0.46932075  0.49422642
  0.519       0.54186957  0.56013043  0.57673333  0.587       0.59316667
  0.59379167  0.58612121  0.56577083  0.53889583  0.48627027  0.38882927
  0.21397561 -0.067     ]",4007,0.14533835853569602,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.16       0.14747368 0.14442105 0.14331579 0.143      0.14442105
 0.14784211 0.15205263 0.15547368 0.15810526 0.15989474 0.15915789
 0.15605263 0.14931579 0.13915789 0.125      0.10610526 0.08205263
 0.05242105 0.022     ]","[31.68       34.15842105 35.61842105 34.15105263 31.06631579 27.91842105
 25.29947368 23.13842105 21.39263158 19.93947368 18.57052632 17.28578947
 16.24210526 15.26789474 14.31736842 13.37789474 12.35947368 11.19210526
 10.01        8.82      ]",apc29ff_9x5_geom.txt
apc29ff_9x5,0.127,0.2286,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apc29ff_9x5_kt1027_5007.txt,"[0.127      0.15394737 0.18089474 0.20784211 0.23478947 0.26173684
 0.28868421 0.31563158 0.34257895 0.36952632 0.39647368 0.42342105
 0.45036842 0.47731579 0.50426316 0.53121053 0.55815789 0.58510526
 0.61205263 0.639     ]","[0.0928     0.09136842 0.0896612  0.08766297 0.08536316 0.08279372
 0.07914278 0.07510526 0.07028675 0.06466612 0.05897244 0.05351011
 0.0480795  0.04311551 0.03834989 0.03330882 0.02835625 0.02356807
 0.01884737 0.0143    ]","[0.0448     0.04496842 0.04512511 0.04529887 0.04547105 0.04556384
 0.04530306 0.04467337 0.04362232 0.04204984 0.04018089 0.03818063
 0.03591634 0.03364709 0.03124119 0.02870441 0.02608421 0.02333544
 0.02051053 0.0179    ]","[0.264      0.31368421 0.35990827 0.4022688  0.44005263 0.47509847
 0.50465365 0.53006502 0.55185299 0.56776316 0.58058033 0.59251158
 0.602241   0.61216898 0.61835011 0.61398151 0.60524342 0.58970526
 0.56084211 0.512     ]",5007,0.18160947371805092,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.16       0.14747368 0.14442105 0.14331579 0.143      0.14442105
 0.14784211 0.15205263 0.15547368 0.15810526 0.15989474 0.15915789
 0.15605263 0.14931579 0.13915789 0.125      0.10610526 0.08205263
 0.05242105 0.022     ]","[31.68       34.15842105 35.61842105 34.15105263 31.06631579 27.91842105
 25.29947368 23.13842105 21.39263158 19.93947368 18.57052632 17.28578947
 16.24210526 15.26789474 14.31736842 13.37789474 12.35947368 11.19210526
 10.01        8.82      ]",apc29ff_9x5_geom.txt
apc29ff_9x5,0.127,0.2286,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apc29ff_9x5_kt1028_6038.txt,"[0.109      0.13121053 0.15342105 0.17563158 0.19784211 0.22005263
 0.24226316 0.26447368 0.28668421 0.30889474 0.33110526 0.35331579
 0.37552632 0.39773684 0.41994737 0.44215789 0.46436842 0.48657895
 0.50878947 0.531     ]","[0.0955     0.09438674 0.0929883  0.09146579 0.08982083 0.08803358
 0.08617854 0.08404291 0.08166754 0.07914542 0.0760614  0.07236989
 0.0681538  0.06353563 0.05858097 0.05367205 0.04887789 0.04411906
 0.03939789 0.0354    ]","[0.0439     0.04400234 0.04424912 0.04447632 0.04468202 0.0448833
 0.0451     0.0451     0.04518202 0.04506745 0.04470877 0.04403411
 0.04297251 0.04164615 0.04002308 0.03814846 0.03616211 0.03400907
 0.03174337 0.0297    ]","[0.238      0.28038986 0.32152047 0.36114912 0.39817325 0.43138475
 0.4627004  0.49259919 0.51814474 0.5415575  0.56216374 0.57998737
 0.5948655  0.6062834  0.61482591 0.62128494 0.62597895 0.62932123
 0.632      0.632     ]",6038,0.2190049934710588,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.16       0.14747368 0.14442105 0.14331579 0.143      0.14442105
 0.14784211 0.15205263 0.15547368 0.15810526 0.15989474 0.15915789
 0.15605263 0.14931579 0.13915789 0.125      0.10610526 0.08205263
 0.05242105 0.022     ]","[31.68       34.15842105 35.61842105 34.15105263 31.06631579 27.91842105
 25.29947368 23.13842105 21.39263158 19.93947368 18.57052632 17.28578947
 16.24210526 15.26789474 14.31736842 13.37789474 12.35947368 11.19210526
 10.01        8.82      ]",apc29ff_9x5_geom.txt
apc29ff_9x5,0.127,0.2286,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apc29ff_9x5_kt1029_6014.txt,"[0.451      0.46657895 0.48215789 0.49773684 0.51331579 0.52889474
 0.54447368 0.56005263 0.57563158 0.59121053 0.60678947 0.62236842
 0.63794737 0.65352632 0.66910526 0.68468421 0.70026316 0.71584211
 0.73142105 0.747     ]","[ 0.0508      0.04744453  0.04418684  0.04112669  0.03815564  0.03526241
  0.03239649  0.02954211  0.02669492  0.02379798  0.02080202  0.01794625
  0.01516093  0.01245053  0.00982007  0.0072398   0.00464864  0.00201633
 -0.00037118 -0.0023    ]","[0.037      0.03550202 0.03402105 0.03257444 0.03109812 0.02959586
 0.02805263 0.02648421 0.0248726  0.02323887 0.02156113 0.0198689
 0.01816938 0.01650474 0.0149023  0.01339309 0.01186243 0.01025082
 0.00876115 0.0075    ]","[ 0.62        0.62299595  0.62573684  0.62796241  0.62929699  0.62985338
  0.62760965  0.62331579  0.61472051  0.60278745  0.58421255  0.55757735
  0.52689155  0.48955263  0.43760197  0.36019408  0.26839383  0.12227405
 -0.04063409 -0.235     ]",6014,0.21813448670668226,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.16       0.14747368 0.14442105 0.14331579 0.143      0.14442105
 0.14784211 0.15205263 0.15547368 0.15810526 0.15989474 0.15915789
 0.15605263 0.14931579 0.13915789 0.125      0.10610526 0.08205263
 0.05242105 0.022     ]","[31.68       34.15842105 35.61842105 34.15105263 31.06631579 27.91842105
 25.29947368 23.13842105 21.39263158 19.93947368 18.57052632 17.28578947
 16.24210526 15.26789474 14.31736842 13.37789474 12.35947368 11.19210526
 10.01        8.82      ]",apc29ff_9x5_geom.txt
apc29ff_9x5,0.127,0.2286,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apc29ff_9x5_kt1030_6907.txt,"[0.095      0.11431579 0.13363158 0.15294737 0.17226316 0.19157895
 0.21089474 0.23021053 0.24952632 0.26884211 0.28815789 0.30747368
 0.32678947 0.34610526 0.36542105 0.38473684 0.40405263 0.42336842
 0.44268421 0.462     ]","[0.0973     0.09624641 0.09496603 0.09359579 0.09222517 0.09079934
 0.08910921 0.08770287 0.08592249 0.08424649 0.08240458 0.08030287
 0.0781384  0.0756345  0.07244354 0.06898737 0.06519336 0.06109234
 0.05680702 0.0523    ]","[0.0432     0.0435512  0.0437512  0.04391158 0.04410778 0.04431908
 0.04439956 0.04466196 0.04477512 0.04491535 0.045      0.045
 0.04495867 0.04467251 0.0440756  0.04327184 0.04217918 0.04083062
 0.03929013 0.0376    ]","[0.214      0.25263158 0.2897512  0.32566316 0.36037071 0.39325
 0.42383333 0.45194258 0.47928708 0.50430263 0.5273524  0.54872249
 0.56847953 0.58564912 0.60048804 0.61304211 0.62376659 0.6323445
 0.63817105 0.643     ]",6907,0.25052459256452514,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.16       0.14747368 0.14442105 0.14331579 0.143      0.14442105
 0.14784211 0.15205263 0.15547368 0.15810526 0.15989474 0.15915789
 0.15605263 0.14931579 0.13915789 0.125      0.10610526 0.08205263
 0.05242105 0.022     ]","[31.68       34.15842105 35.61842105 34.15105263 31.06631579 27.91842105
 25.29947368 23.13842105 21.39263158 19.93947368 18.57052632 17.28578947
 16.24210526 15.26789474 14.31736842 13.37789474 12.35947368 11.19210526
 10.01        8.82      ]",apc29ff_9x5_geom.txt
apc29ff_9x5,0.127,0.2286,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apc29ff_9x5_kt1031_6917.txt,"[0.393      0.41131579 0.42963158 0.44794737 0.46626316 0.48457895
 0.50289474 0.52121053 0.53952632 0.55784211 0.57615789 0.59447368
 0.61278947 0.63110526 0.64942105 0.66773684 0.68605263 0.70436842
 0.72268421 0.741     ]","[ 0.0678      0.06406053  0.05995263  0.05560526  0.05121579  0.04709474
  0.04325837  0.03928462  0.03544695  0.03193032  0.02835489  0.02470526
  0.02109724  0.01763866  0.01432773  0.01114511  0.00792216  0.00465673
  0.00141368 -0.0017    ]","[0.0429     0.04175526 0.04037744 0.03874211 0.03698632 0.03533789
 0.03342919 0.03152429 0.02962126 0.02771642 0.02579774 0.02373158
 0.02163835 0.01956559 0.01759312 0.0156609  0.01373657 0.01174795
 0.00971474 0.0077    ]","[ 0.62        0.62992105  0.63721053  0.64147368  0.64412632  0.64595789
  0.65088038  0.64817409  0.64395579  0.64102526  0.63321805  0.61707895
  0.59645363  0.56707287  0.52621457  0.47282707  0.39182825  0.26282846
  0.09866316 -0.166     ]",6917,0.2508873037163487,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.16       0.14747368 0.14442105 0.14331579 0.143      0.14442105
 0.14784211 0.15205263 0.15547368 0.15810526 0.15989474 0.15915789
 0.15605263 0.14931579 0.13915789 0.125      0.10610526 0.08205263
 0.05242105 0.022     ]","[31.68       34.15842105 35.61842105 34.15105263 31.06631579 27.91842105
 25.29947368 23.13842105 21.39263158 19.93947368 18.57052632 17.28578947
 16.24210526 15.26789474 14.31736842 13.37789474 12.35947368 11.19210526
 10.01        8.82      ]",apc29ff_9x5_geom.txt
apce_10x5,0.127,0.254,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apce_10x5_kt0821_5000.txt,"[0.113      0.13763158 0.16226316 0.18689474 0.21152632 0.23615789
 0.26078947 0.28542105 0.31005263 0.33468421 0.35931579 0.38394737
 0.40857895 0.43321053 0.45784211 0.48247368 0.50710526 0.53173684
 0.55636842 0.581     ]","[0.0912     0.08950658 0.08745227 0.08491215 0.08172344 0.07799181
 0.07321664 0.06749576 0.06238947 0.05690263 0.05182051 0.04759231
 0.04387759 0.03990062 0.03584365 0.03157135 0.02736721 0.02320399
 0.01890383 0.0145    ]","[0.0381     0.03848487 0.03877858 0.0389     0.03883014 0.03859474
 0.03775416 0.03632394 0.03500926 0.03320526 0.0314735  0.03001822
 0.02863548 0.02712167 0.02552786 0.02371871 0.02186923 0.02003376
 0.01814067 0.0162    ]","[0.271      0.32026316 0.36595463 0.40782996 0.4447177  0.47762573
 0.50578947 0.53042105 0.55200421 0.57132456 0.5905608  0.6088502
 0.62366723 0.63532043 0.64184056 0.64155945 0.6345749  0.61462795
 0.57598086 0.52      ]",5000,0.2015061954575271,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.13       0.147      0.16794737 0.18394737 0.19363158 0.19889474
 0.20063158 0.19842105 0.19273684 0.18536842 0.17463158 0.16221053
 0.14894737 0.13426316 0.11957895 0.10526316 0.09126316 0.07678947
 0.05889474 0.041     ]","[32.76       36.72368421 34.30842105 30.60473684 27.16       24.17157895
 21.70368421 19.79368421 18.23736842 16.99315789 16.02684211 15.04368421
 14.29526316 13.64789474 13.10052632 12.59157895 11.97210526 11.12157895
 10.06368421  8.99      ]",apce_10x5_geom.txt
apce_10x5,0.127,0.254,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apce_10x5_kt0822_4993.txt,"[0.487      0.49773684 0.50847368 0.51921053 0.52994737 0.54068421
 0.55142105 0.56215789 0.57289474 0.58363158 0.59436842 0.60510526
 0.61584211 0.62657895 0.63731579 0.64805263 0.65878947 0.66952632
 0.68026316 0.691     ]","[ 0.0307      0.02891053  0.02712105  0.02533158  0.02345167  0.02156459
  0.01967751  0.01783008  0.01598947  0.01412813  0.0122029   0.01027768
  0.0083726   0.00648439  0.00459619  0.00258647  0.00055414 -0.00146316
 -0.00343158 -0.0054    ]","[0.0233     0.02251914 0.02173828 0.02095742 0.02011627 0.01927033
 0.0184244  0.01761316 0.01680789 0.01597314 0.01504755 0.01412196
 0.01317623 0.01221361 0.011251   0.01016241 0.00905038 0.00794737
 0.00687368 0.0058    ]","[ 0.641       0.63611962  0.63123923  0.62635885  0.61394258  0.60092823
  0.58791388  0.56539474  0.54123684  0.51356261  0.47505808  0.43655354
  0.38455172  0.32124138  0.25793103  0.14033835  0.01264662 -0.14373684
 -0.39336842 -0.643     ]",4993,0.2012240867838866,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.13       0.147      0.16794737 0.18394737 0.19363158 0.19889474
 0.20063158 0.19842105 0.19273684 0.18536842 0.17463158 0.16221053
 0.14894737 0.13426316 0.11957895 0.10526316 0.09126316 0.07678947
 0.05889474 0.041     ]","[32.76       36.72368421 34.30842105 30.60473684 27.16       24.17157895
 21.70368421 19.79368421 18.23736842 16.99315789 16.02684211 15.04368421
 14.29526316 13.64789474 13.10052632 12.59157895 11.97210526 11.12157895
 10.06368421  8.99      ]",apce_10x5_geom.txt
apce_10x5,0.127,0.254,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apce_10x5_kt0823_6005.txt,"[0.093      0.11357895 0.13415789 0.15473684 0.17531579 0.19589474
 0.21647368 0.23705263 0.25763158 0.27821053 0.29878947 0.31936842
 0.33994737 0.36052632 0.38110526 0.40168421 0.42226316 0.44284211
 0.46342105 0.484     ]","[0.0942     0.09273008 0.09156842 0.09034474 0.08866842 0.08660263
 0.08445899 0.08189771 0.07900505 0.07555326 0.07140503 0.06672406
 0.06206316 0.05701808 0.0524747  0.04827976 0.04436914 0.04076447
 0.0372727  0.0338    ]","[0.0385     0.03872049 0.03901053 0.03927281 0.0394443  0.03961579
 0.03978728 0.03971716 0.03956695 0.03910926 0.03822586 0.03696767
 0.03559522 0.03392403 0.03231498 0.03073198 0.02929115 0.02784868
 0.02637911 0.0249    ]","[0.227      0.27183271 0.31484211 0.35538158 0.39308114 0.42792105
 0.45964693 0.48933638 0.51495789 0.53769895 0.55811213 0.57634586
 0.59214833 0.60545309 0.61959514 0.63067611 0.64039234 0.64856579
 0.65414145 0.658     ]",6005,0.24200894074449006,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.13       0.147      0.16794737 0.18394737 0.19363158 0.19889474
 0.20063158 0.19842105 0.19273684 0.18536842 0.17463158 0.16221053
 0.14894737 0.13426316 0.11957895 0.10526316 0.09126316 0.07678947
 0.05889474 0.041     ]","[32.76       36.72368421 34.30842105 30.60473684 27.16       24.17157895
 21.70368421 19.79368421 18.23736842 16.99315789 16.02684211 15.04368421
 14.29526316 13.64789474 13.10052632 12.59157895 11.97210526 11.12157895
 10.06368421  8.99      ]",apce_10x5_geom.txt
apce_10x5,0.127,0.254,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apce_10x5_kt0824_6018.txt,"[0.406      0.42131579 0.43663158 0.45194737 0.46726316 0.48257895
 0.49789474 0.51321053 0.52852632 0.54384211 0.55915789 0.57447368
 0.58978947 0.60510526 0.62042105 0.63573684 0.65105263 0.66636842
 0.68168421 0.697     ]","[ 0.0472      0.04446979  0.04179981  0.03919045  0.03664158  0.03398168
  0.03114542  0.02854687  0.02597961  0.02320362  0.0204613   0.0178271
  0.01499084  0.0122133   0.00952594  0.00657218  0.00364013  0.00076842
 -0.00203138 -0.0048    ]","[0.0304     0.02933455 0.02826296 0.02718519 0.02611158 0.02496394
 0.02371598 0.0226193  0.02153224 0.02028783 0.01903994 0.01777446
 0.01646979 0.01511634 0.01365789 0.01212632 0.01057785 0.00898246
 0.00739049 0.0058    ]","[ 0.631       0.63832494  0.64482651  0.65049903  0.65481579  0.65553801
  0.6521345   0.64662406  0.63690789  0.61967763  0.60079876  0.57401559
  0.53260624  0.48699723  0.42881391  0.32980827  0.21225219  0.04314035
 -0.24346356 -0.581     ]",6018,0.2425328568526797,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.13       0.147      0.16794737 0.18394737 0.19363158 0.19889474
 0.20063158 0.19842105 0.19273684 0.18536842 0.17463158 0.16221053
 0.14894737 0.13426316 0.11957895 0.10526316 0.09126316 0.07678947
 0.05889474 0.041     ]","[32.76       36.72368421 34.30842105 30.60473684 27.16       24.17157895
 21.70368421 19.79368421 18.23736842 16.99315789 16.02684211 15.04368421
 14.29526316 13.64789474 13.10052632 12.59157895 11.97210526 11.12157895
 10.06368421  8.99      ]",apce_10x5_geom.txt
apce_10x5,0.127,0.254,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apce_10x5_kt0825_6707.txt,"[0.087      0.10526316 0.12352632 0.14178947 0.16005263 0.17831579
 0.19657895 0.21484211 0.23310526 0.25136842 0.26963158 0.28789474
 0.30615789 0.32442105 0.34268421 0.36094737 0.37921053 0.39747368
 0.41573684 0.434     ]","[0.096      0.09478246 0.09351316 0.0922807  0.090925   0.08946507
 0.08795714 0.08630476 0.08440802 0.08228947 0.07978296 0.07691754
 0.0736391  0.06981805 0.06561663 0.06072211 0.05642531 0.0525
 0.04850921 0.0444    ]","[0.039      0.03917393 0.03935526 0.03953133 0.03973816 0.03994833
 0.04011504 0.04028897 0.04038145 0.0404     0.04028922 0.03994586
 0.03930677 0.03838822 0.03723979 0.03563263 0.03411153 0.03271579
 0.03123064 0.0296    ]","[0.213      0.25474436 0.29438158 0.33092231 0.36618421 0.40018182
 0.4314812  0.46018045 0.48725063 0.51215789 0.53429323 0.55474185
 0.57357143 0.58960652 0.60341053 0.61436842 0.6267218  0.63773684
 0.64547744 0.652     ]",6707,0.2703004105867269,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.13       0.147      0.16794737 0.18394737 0.19363158 0.19889474
 0.20063158 0.19842105 0.19273684 0.18536842 0.17463158 0.16221053
 0.14894737 0.13426316 0.11957895 0.10526316 0.09126316 0.07678947
 0.05889474 0.041     ]","[32.76       36.72368421 34.30842105 30.60473684 27.16       24.17157895
 21.70368421 19.79368421 18.23736842 16.99315789 16.02684211 15.04368421
 14.29526316 13.64789474 13.10052632 12.59157895 11.97210526 11.12157895
 10.06368421  8.99      ]",apce_10x5_geom.txt
apce_10x5,0.127,0.254,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apce_10x5_kt0826_6710.txt,"[0.366      0.38310526 0.40021053 0.41731579 0.43442105 0.45152632
 0.46863158 0.48573684 0.50284211 0.51994737 0.53705263 0.55415789
 0.57126316 0.58836842 0.60547368 0.62257895 0.63968421 0.65678947
 0.67389474 0.691     ]","[ 0.0591      0.0556012   0.05183657  0.04805744  0.04443906  0.04114737
  0.03808268  0.03502078  0.03221947  0.02933768  0.02619079  0.02319737
  0.02005867  0.01691828  0.01380526  0.01038421  0.0071583   0.00392865
  0.00070724 -0.0025    ]","[0.0351     0.03385598 0.03253601 0.03101327 0.02947424 0.0282
 0.02684583 0.0255615  0.02444947 0.02323242 0.02179579 0.02042737
 0.01893216 0.01743213 0.01594232 0.01416053 0.01243158 0.01065887
 0.00882434 0.0069    ]","[ 0.617       0.62866268  0.63649861  0.64483066  0.65316343  0.65773684
  0.66272588  0.66467036  0.66337368  0.65627789  0.64395263  0.62855789
  0.60169981  0.56919391  0.52310526  0.45468421  0.3687004   0.22646589
  0.02694956 -0.256     ]",6710,0.2704213143040014,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.13       0.147      0.16794737 0.18394737 0.19363158 0.19889474
 0.20063158 0.19842105 0.19273684 0.18536842 0.17463158 0.16221053
 0.14894737 0.13426316 0.11957895 0.10526316 0.09126316 0.07678947
 0.05889474 0.041     ]","[32.76       36.72368421 34.30842105 30.60473684 27.16       24.17157895
 21.70368421 19.79368421 18.23736842 16.99315789 16.02684211 15.04368421
 14.29526316 13.64789474 13.10052632 12.59157895 11.97210526 11.12157895
 10.06368421  8.99      ]",apce_10x5_geom.txt
apce_10x5,0.127,0.254,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apce_10x5_pg0820_4005.txt,"[0.146      0.17431579 0.20263158 0.23094737 0.25926316 0.28757895
 0.31589474 0.34421053 0.37252632 0.40084211 0.42915789 0.45747368
 0.48578947 0.51410526 0.54242105 0.57073684 0.59905263 0.62736842
 0.65568421 0.684     ]","[ 8.67000000e-02  8.31403008e-02  7.85820724e-02  7.26679315e-02
  6.62065789e-02  6.01894737e-02  5.51333761e-02  5.05970962e-02
  4.65141700e-02  4.24364912e-02  3.82814536e-02  3.41015038e-02
  2.97382542e-02  2.51736842e-02  2.01639676e-02  1.50252632e-02
  1.00000000e-02  5.07767145e-03  4.67492260e-05 -5.20000000e-03]","[0.0385     0.0385     0.03802681 0.0369235  0.03549605 0.03372632
 0.03213517 0.0306657  0.02929231 0.02789509 0.02638183 0.0248312
 0.02301245 0.02098421 0.01880607 0.01649895 0.01407719 0.01158884
 0.00906502 0.0064    ]","[ 0.329       0.37592331  0.41741941  0.45245165  0.48426316  0.51257895
  0.5415751   0.56811252  0.59042915  0.60979298  0.62241103  0.62780451
  0.62672401  0.61652632  0.57877193  0.51348421  0.41559649  0.25673844
 -0.02965635 -0.551     ]",4005,0.16140646256147922,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.13       0.147      0.16794737 0.18394737 0.19363158 0.19889474
 0.20063158 0.19842105 0.19273684 0.18536842 0.17463158 0.16221053
 0.14894737 0.13426316 0.11957895 0.10526316 0.09126316 0.07678947
 0.05889474 0.041     ]","[32.76       36.72368421 34.30842105 30.60473684 27.16       24.17157895
 21.70368421 19.79368421 18.23736842 16.99315789 16.02684211 15.04368421
 14.29526316 13.64789474 13.10052632 12.59157895 11.97210526 11.12157895
 10.06368421  8.99      ]",apce_10x5_geom.txt
apce_10x7,0.17779999999999999,0.254,2,C:/Users/denriquez/Documents/CodingDojo/apcNN/UIUC-propDB/volume-1/data\apce_10x7_pg0812_4007.txt,"[0.144      0.17436842 0.20473684 0.23510526 0.26547368 0.29584211
 0.32621053 0.35657895 0.38694737 0.41731579 0.44768421 0.47805263
 0.50842105 0.53878947 0.56915789 0.59952632 0.62989474 0.66026316
 0.69063158 0.721     ]","[0.1041     0.10213498 0.10011754 0.09796593 0.09557233 0.09284737
 0.08997468 0.0860383  0.08064228 0.0742687  0.06801069 0.06133684
 0.05404509 0.04813556 0.0428182  0.03786288 0.03281796 0.02780582
 0.0228519  0.0172    ]","[0.0521     0.05201068 0.05206856 0.05219529 0.05232992 0.05241579
 0.05249787 0.05225351 0.05119576 0.04936607 0.04735439 0.04475734
 0.0414872  0.03861451 0.03591744 0.03333463 0.0306596  0.0279133
 0.02510556 0.0219    ]","[0.287      0.34148452 0.3925614  0.44015789 0.48376541 0.52278947
 0.5580825  0.58611404 0.60899491 0.62688504 0.64260447 0.65409141
 0.66175818 0.6716074  0.67866466 0.67935457 0.67204334 0.65487812
 0.62504971 0.566     ]",4007,0.16148706503966226,"[0.15       0.19473684 0.23947368 0.28421053 0.32894737 0.37368421
 0.41842105 0.46315789 0.50789474 0.55263158 0.59736842 0.64210526
 0.68684211 0.73157895 0.77631579 0.82105263 0.86578947 0.91052632
 0.95526316 1.        ]","[0.138      0.15231579 0.17057895 0.18526316 0.19463158 0.19989474
 0.20126316 0.19868421 0.19357895 0.18536842 0.17463158 0.16305263
 0.14921053 0.13489474 0.12005263 0.10526316 0.09126316 0.07678947
 0.05878947 0.04      ]","[37.86       44.98210526 44.53315789 40.19421053 35.62315789 31.86842105
 28.83894737 26.40157895 24.34631579 22.52842105 20.97157895 19.6
 18.34315789 17.19684211 16.24       15.30578947 14.39368421 13.62
 12.59473684 11.53      ]",apce_10x7_geom.txt
